avano	haveneau, havenet
décintrement	décintrage
GABA	acide_γ-aminobutyrique
phraséologie	langue_de_bois, xyloglossie, style
mazandarani	tabari
les_dés_sont_jetés	le_sort_en_est_jeté, advienne_que_pourra, alea_jacta_est
presbytère	maison_presbytérienne, maison_presbytérale, cure
crédit_revolving	crédit_renouvelable, crédit_permanent
chanvre_de_Manille	tagal, abaca
blister	emballage-coque
teff	mil_éthiopien
concept	connaissance, notion, idée
imbattable	invincible
beaupré	mât_de_beaupré
lessivier	lessiviel
énergiser	dynamiser
lessiviel	détergent, détersif
moudjahida	moudjahidette
GAEC	groupement_agricole_d’exploitation_en_commun
uniformément	monotonement
boulet	canard_boiteux
vinoscope	œnomètre, vinomètre, pèse-vin, œnoscope
marmotter	marmonner, grommeler
blanchette	doucette
ukulélé	uku
S/2003_U_1	Uranus_XXVI, Mab
S/2003_U_3	Uranus_XXIII, Margaret
S/2003_U_2	Cupidon, Uranus_XXVII
chacun	tout_le_monde
anglais	langue_de_Shakespeare, anglophone, angliche
plagier	copier, imiter
sélène	lunaire, sélénien, sélénite
mandilion	image_d’Édesse
sternodynie	sternalgie
triazophos	O,O-diethyl_O-(1-phenyl-1H-1,2,4-triazol-3-yl)_phosphorothioate, O,O-diethyl_O-1-phenyl-1H-1,2,4-triazol-3-yl_phosphorothioate, thiophosphate_de_O,O-diéthyle_et_de_O-(phényl-1_triazole-1,2,4_yle-3, Hostathion
gallodrome	pitt_à_coq
ekuaba	akuaba, akua-ba, akua_ba
République_Démocratique_du_Congo	RDC, Zaïre, Congo-Léo, État_indépendant_du_Congo, Congo-Kinshasa, Congo_belge, Congo-Léopoldville, Congo
décime	dîme
miction	urination
être_à_la_cape	se_tenir_à_la_cape
lingua_franca_nova	LFN
jamesonite	warrenite, wolfsbergite, andalousite, domingite, pfaffite, comuccite, sakharovaite
cordiérite	saphir_d'eau, yolithe, quartz_bleu_de_la_Nouvelle-Finlande, steinheilite, dichroïte, iolite
chadda	tachdîd
être_tout_miel	être_tout_sucre
flambe	flambard
RAFT	Reversible_Addition-Fragmentation_Chain_Transfer
plaste	plastide, leucite
poisson_tripode	poisson_trépied
mirabellier	Prunus_domestica_subsp._syriaca
enculage_de_mouche	diptérosodomie, querelle_d’Allemand, argutie, enculeur_de_mouches
lâcher_prise	se_lâcher_lousse
jurassien	jurassique
figuralisme	madrigalisme
anémone_hépatique	hépatique_à_trois_lobes, herbe_de_la_trinité, herbe_au_foie, hépatique_des_jardins, hépatique_noble, hépatique_commune, trinitaire
Saint-Pétersbourg	Venise_de_la_Baltique, Léningrad, Pétrograd
stabat	stabat_mater
érotique	de_charme
déméton-méthyl	oxydéméton-méthyl
spatule	maryse, poisson-pagaie, lécheuse, poisson-spatule
logopédie	orthophonie
désorceleur	désenvouteur, désenvoûteur, désensorceleur, désenchanteur
vasotomie	masculin, vasectomie, stérilisation
céphalorachidien	cérébrospinal, cérébro-spinal
faire_bonne_chère	faire_ripaille, ripailler, festoyer, faire_bombance
taper_sur_les_nerfs	taper_sur_le_système
casuellement	aléatoirement, occasionnellement, accidentellement, fortuitement
passavant	congé, acquit
cyhéxatin	hydroxyde_de_tricyclohexyl_étain
mosaïquer	pixeliser, pixelliser, pixéliser
appeler_Raoul	dégobiller, dégueuler, quicher, gerber, régurgiter, vomir
deux-pièces	type_2, bikini, F2, T2
garou	malherbe, cancetille, garoutte, sainbois, sain-bois, lauréole
obligé	obligatoire
youyou	ululation, youyou_du_Sénégal, perroquet_du_Sénégal, annexe
nandou	touyou, yandou, jardu
Encelade	Saturne_II
virer_sur_un_dix_cennes	être_vite_sur_ses_patins
si_les_chiens_avaient_des_scies,_il_n’y_aurait_plus_de_poteaux	avec_des_si_on_mettrait_Paris_en_bouteille, si_la_mer_bouillait,_il_y_aurait_bien_des_poissons_de_cuits
par_ricochet	par_rebond
librettiste	auteur
mot_composé	composé
dogesse	dogaresse
adultérer	gâter, abîmer, détériorer, altérer
à_tempérament	à_crédit
décapeuse	scraper
branzière	sorbe
salopiaud	saligaud, salaud
cymbalier	cymbaliste
renardière	goupillière
handicap_moteur	déficience_motrice
Omani	Omanais
cruche	carafe, pichet, broc, jarre
véronique	herbe_aux_ladres
statcoulomb	franklin
TBM	bien_monté, TTBM
tant_et_plus	tant_et_tant
quintupler	pentupler
vasectomie	stérilisation, vasotomie
breithauptite	hartmannite, antimonnicke
ambre_jaune	ambre, carabé, succin
sensiblement	beaucoup, énormément, ardemment, intensément, vivement, fortement, nettement, profondément, très, infiniment
résiliable	annulable, révocable
Toulouse	Ville_rose, Cité_des_violettes
ribotter	gobelotter
dictionnarisable	lexicalisable, dictionnairisable
halde	terril
TCA	2,4,6-tétrachloro-anisole, acide_trichloroacétique, trichloroacétate_de_sodium
bavolet	bagnolet
pour_la_vie	à_la_vie_à_la_mort
applet	mini-application, appliquette
basilic	basilic_romain, herbe_royale, basilic_commun
bombe_atomique	bombe_à_fission, bombe_sexuelle, créature_de_rêve, bonnasse, arme_nucléaire, arme_atomique, bombe_A
Sao	Neptune_XI, S/2002_N_2
roussin	flic, argousin, bourre, poulet, cogne, keuf
repixéliser	repixelliser, repixeliser
machine_à_sous	bandit_manchot
chèvrefeuille_entrelacé	chèvrefeuille_des_Baléares, chèvrefeuille_de_Mahon
sevrage	ablactation, désintoxication, aglactation
collectivement	simultanément, en_même_temps, ensemble
puddlage	mise_en_boue
caporal-chef	arme, brigadier-chef, cabot-chef
jobeur	jobiste
célestine	eschwegite, sicilianite, cliftonite, coelestine, colestine, célestite, strontiane_sulfatée, dioxynite, schutzite
interlocuteur	émetteur, partenaire, récepteur
amphigame	hermaphrodite
faire_force_de_rames	souquer_sur_les_avirons
ivraie	ray-grass, fromental
mise_en_place	installation
gallinacé	galliforme
filoutage	phishing, hameçonnage
feuille_de_rose	anulingus, anilinctus
souhaiter	appeler_de_ses_vœux
à_l’intérieur	dedans
vitrifiable	vitrescible
doutosité	dubitabilité
Éthiopie	Abyssinie
holothurie	bêche_de_mer, biche_de_mer, concombre_de_mer
défouir	déterrer
mikado	jonchets
quantifiable	dénombrable
sémioticien	sémiologue, sémanticien
jobiste	jobeur
perdrix_de_Hey	perdrix_de_sable
infractionniste	transgresseur, contrevenant
concocter	fabriquer, mitonner, préparer, mijoter
lotophage	aboulique, amnésique, mangeur_de_lotus
chiroptère	chauve-souris, alipède
ta_poire	ta_pomme, tézigue
barbeyer	barboter, faséier, fasier
nègre_littéraire	nègre
apparition	fantôme
jasette	discussion, jaserie, bavardage, conversation
rambade	rambate
histogramme	diagramme_en_tuyaux_d'orgue, diagramme_à_tuyaux_d'orgue, graphique_à_tuyaux_d'orgue, histo, diagramme_à_barres, graphique_en_tuyaux_d'orgue
mammite	mastite
mégoter	pinailler, lésiner
balsamaire	lacrymatoire, unguentarium
chlamydie	pararickettsie, myagawanella, néorickettsie, chlamydiée
aguicheuse	agace, agace-pissette, allumeuse
co-chambreur	co-locataire, colocataire
matrone	matriarche
mouilloir	mouilleur
donner_occasion	donner_lieu, donner_matière_à_faire, donner_sujet
halosauridé	halosaure
été_des_sauvages	été_des_Indiens, été_indien
succin	ambre, ambre_jaune, carabé
acupression	digitopuncture
révérencieux	obséquieux
cosmopolitisme	universalisme
sajou	sapajou
Serbe	Servien
pléonasme	battologie, tautologie
Bible	Saintes_Écritures, parole_de_Dieu
radiophonie	radiodiffusion, radiotéléphonie, radio
kurtosis	coefficient_d’aplatissement, coefficient_d’aplatissement_de_Pearson
line_up	formation
ormier	oreille_de_mer, bourdon, grand, ormeau, testacelle_haliotidée
philtrum	sillon_naso-labial
Kirghizistan	Kirghizstan, Kirghizie
anhydrite	chaux_sulfatée_quartzifère, chaux_sulfatée_anhydre, soude_muriatée_gypsifère, pierre_de_tripes, muriacite, karsténite
tennisseur	tennisman
barre_oblique_inversée	contre-cotice, barre_oblique_inverse, contre-oblique
avoir_la_main	distribuer, faire_la_main
tirer_sur_ses_troupes	tirer_sur_ses_gens
rendre_l’âme	rendre_son_âme_à_Dieu
trollage	trollisme
randomiser	casualiser
Ixodida	tique
maison_d’éducation	couvent, pensionnat, internat
de_bonne_famille	bien_comme_il_faut
décrotter	débourber
uranoscope	rascasse_blanche
bien_ou_bien	ça_va
Xiamen	Amoy
podie	pied_ambulatoire, podion
parking-relais	parc_relais, parc_de_stationnement_incitatif, stationnement_incitatif, parc_de_dissuasion, parking_de_dissuasion
teub	tête_de_nœud, bite, pénis, gland
gagner_sa_croûte	gagner_son_steak, gagner_son_bifteck, gagner_sa_vie, gagner_son_pain
concomitamment	simultanément
frangier	franger
flapule	capsule, unidose
dormir_comme_une_marmotte	dormir_comme_un_loir, dormir_à_poings_fermés
demi-mesure	réformette, mesurette
interconnecter	relier
matière_grasse	lipide
test	questionnaire, interrogation, scorificatoire, têt
angle_plan	angle
gobelet	godet, verre
coincher	contrer
Columbia	Hudsonia, Hudsonland, Nuna
tous_les_chiens_qui_aboient_ne_mordent_pas	les_chiens_aboient,_la_caravane_passe
handicapé	infirme, invalide
faseyer	barbéyer, barbeyer
angelet	angelot
transfèrement	transfert
voiture	automobile, tas_de_boue, auto, bolide, cage, caisse, bagnole, chiotte, tas_de_ferraille, char, gamos, tire
hystérésis	hystérèse
training	survêt, entrainement, jogging
pâté_de_maisons	ilot_urbain, îlot_urbain, ilot, îlot
riveteuse	riveuse
ne_pas_avoir_une_cenne	être_dans_le_trou, tirer_le_diable_par_la_queue, être_dans_le_rouge
Galatée	S/1989_N_4, Neptune_VI
rarrondir	réarrondir
butoxyde_de_pipéronyle	pipéronyl_butoxyde
gastro-entérite	gastro
ratio_d’image	ratio_d’aspect, rapport_d’aspect, proportion, rapport_de_forme, format
rassouplir	réassouplir
bref	enfin, enfin_bref
cathare	Albigeois, bogomile, manichéen, albigeois
chiffonnage	chiffonnement
agréable	plaisant, heureux, gai
blâme	reproche, réprimande, critique, grief
Argo	Navire_Argo
écoduc	passage_à_faune
ordinateur_portable	portable
fraichement	depuis_peu, nouvellement
fille_de_joie	fille_de_trottoir, putain, pute, fille_publique, fille_de_salle, fille_soumise, péripatéticienne, fille_des_rues, Marie-Madeleine, fille_facile, Marie-couche-toi-là, fille_salope
perdre_l’haleine	perdre_haleine, perdre_la_respiration
betterave	carotte_rouge
être_à_voile_et_à_vapeur	marcher_à_voile_et_à_vapeur
bled_de_Turquie	bled_d’Espagne
TMS	LATR
sensuellement	lascivement
newsletter	infolettre, lettre_d'information, cyberlettre
invincible	imbattable
ergative	inaccusative
scène	dramaturgie, planche, plateau
TNF	facteur_de_nécrose_tumorale, cachectine, cachexine, lymphotoxine
dompteur	dresseur, charmeur
délétère	méphitique, néfaste, préjudiciable, toxique, nocif, nuisible
biométrie	biométrique
robotechnique	robotique
suiver	suiffer
jalousie	envie, moucharabieh
ci-delez	là-delez
soulèvement	surrection, exhaussement, insurrection, haussement
hétérochromie	allophtalmie, hétérophtalmie
TOC	trouble_obsessionnel_compulsif
doré_jaune	doré
marque_de_commerce	marque_commerciale, marque_déposée
acide_tartrique	acide_tartarique, acide_tartareux
quatre-épices	all-spice, tout-épice, piment_de_la_Jamaïque
comme_un_chien_dans_un_jeu_de_quilles	comme_un_cheveu_sur_la_soupe
bézoard	nah_saale
contumax	contumace
traîne-misère	traîne-malheur
pentylamine	n-pentylamine,_n-amylamine,_1-aminopentane, pentanamine
bardelle	barde
phorie	hétérophorie, strabisme
manger_le_morceau	cracher_le_morceau
one-woman-show	seule-en-scène, seule_en_scène, one-man-show, spectacle_solo
tintebin	promenette, tuteur_à_roulettes
bloc_de_départ	starting_block
y_avoir_une_couille_dans_le_pâté	y_avoir_une_couille_dans_le_potage
défense_Chewbacca	noyer_le_poisson
coleslaw	salade_de_chou
bouche_bée	abasourdi, bouche_béante, étonné, ébahi
joliesse	beauté
vlan	bling-bling, vling
digression	anacoluthe, parenthèse, disgression
criminologue	criminologiste
point_critique	point_K
sphincter_d’Oddi	papille_d’Oddi
politicien	homme_politique
Mercosud	Mercosur, Mercosul
ligne_de_faîte	ligne_de_crête, ligne_de_partage_des_eaux
vidéoclip	clip_vidéo, vidéo_musicale, clip
à_plus_forte_raison	a_fortiori
intempestif	inopportun
angelot	augelot, angelet
amphioxus	lancelet, lancéolé
voie_d’eau	voie_navigable
chauveté	calvitie, alopécie
adjudant	juteux
pantomime	mime
révérence_gardée	en_parlant_par_révérence, révérence_parler, sauf_révérence, déférence_gardée
Italien	macaroni, rital
à_la_baïenne	en_robe_des_champs
lion_des_montagnes	cougar, puma
anglo-français	franco-anglais
anagrammer	anagrammatiser
potamaie	submersipotamaie
haillonneux	miséreux
cercle_unité	cercle_trigonométrique
langue_de_pute	langue_de_vipère
heptamètre	heptasyllabe
galant_de_nuit	jasmin_de_nuit, cestreau_nocturne, jasmin_bâtard, dame_de_nuit, reine_de_nuit
aristol	diiodothymol, dithymol_di_iodé, dithymol_diodé, iodure_de_thymol, thymol_iodide, iodothymol
élève	disciple, étudiant, écolier
punaise	hétéroptère
un_moment	bon, sacré, un_bout_de_temps
verbalement	oralement
joint-venture	coentreprise
chatouillis	chatouille
kieselguhr	terre_diatomée, terre_d’infusoire
amélanchier	arbre_aux_oiseaux
Atlantique	océan_Atlantique
tapette	homosexuel
harmonique	consonant, mélodieux, harmonieux, mélodique
Sqn	esc
C.I.P.C.	chloro-IPC, isopropyl-N_(3_chlorophényl)_carbamate, N-(chloro-3_phényl)_carbamate_d’isopropyle
pingrerie	avarice
bumper	pare-chocs
agro-système	agriculture_raisonnée, bio, agrosystème
e-marketing	webmarketing, cybermarketing, netmarketing, marketing_Internet, marketing_en_ligne
casse-noisettes	casse-noix
faisabilité	factibilité
débarbouillette	gant_de_toilette, main_de_toilette
terrine_de_Fierville	teurgoule, tordgoule, bourre-goule, terrinée
sewan	wampum
allées_et_venues	va-et-vient
déshérence	caducité
vert-de-gris	verdet, vert_de_Paris, altingat, érugineux
crècerelle	faucon_crécerelle
arriver_comme_un_chien_dans_un_jeu_de_quilles	arriver_comme_un_cheveu_sur_la_soupe
en_trombe	plus_rapidement, à_toute_vitesse, avec_précipitation, à_fond_de_train, brusquement, rapidement, à_la_hâte, à_grande_vitesse
boite_aux_lettres	boîte_à_malle
Moires	Parques
tomber_en_panne	défaillir
euphémiste	euphémistique, euphémisé
loutre_géante	loutre_géante_sudaméricaine, loutre_géante_du_Brésil
chambouler	bouleverser
ad_vitam_æternam	éternellement
mettre_sur_pied	mettre_en_place
polycentrique	multipolaire
arsouille	galopin, garnement, voyou, chenapan
pet_foireux	pet_sauce, floche
broc	carafe
âtre	foyer
hypersécrétion	hypercrinie
Saint-Christophe-et-Niévès	Saint-Kitts-et-Nevis
guildive	tafia, rumbullion, tue_diable, rhum
stellion	hardun, agame_stellion, lézard_étoilé
vexation	démenti, infamie, scène, outrage, tourment, brimade, avanie, injure, aubade, abus, exaction, insulte, humiliation, insolence, mortification, incartade, coup, impertinence, atteinte, indignité, camouflet, oppression, couleuvre, sortie, algarade, affront, rebuffade
poisson-lézard_rayé	poisson-lézard_de_l'Atlantique
boxer	boxer-short, boxer_short, moteur_à_plat
aniconisme	iconoclasme
theilériose_bovine	fièvre_de_la_côte_orientale, fièvre_de_la_côte_Est
galanterie	courtoisie
tamanoir	fourmilier_géant
madréporique	madréporien
pulvériseur_à_attelage_déporté	cover-crop, pulvériseur_déporté, pulvériseur-déchaumeur
pâturin_commun	gazon_d’Angleterre, pâturin_rude
anaphylactique	allergique
poêlon	poêlonne
hasardeur	oseur
rouster	roster, rousturer
avoir_les_coudées_franches	avoir_ses_coudées_franches
canard_chipeau	ridelle, ridenne
c’est_la_meilleure	c'est_le_comble, c'est_le_bouquet
phalène_du_bouleau	géomètre_du_bouleau
cinéfier	incinérer
Miranda	Uranus_V
trou_botal	trou_ovale, trou_de_Botal, foramen_ovale
attinter	tinter, préférence
retraire	retirer
identité_numérique	cyberidentité, cyber-identité
Outrance	American
cynologiste	cynologue
coup_de_dent	coup_de_langue, coup_de_bec
dégrafer	désagrafer
surmultiplication	démultiplication
goaleur	gardien_de_but
oryzalin	3,5-dinitro-N�?�,N�?�-dipropylsulphanylamide
oculogyrie	ophthalmogyrie
Troyen	Dardanide, Teucère
détrimentaire	nuisible
dermato	dermatologue
mélange	anthologie, mixte
simulidés	simuliidés
comme_cul_et_chemise	copains_comme_cochons, comme_larrons_en_foire
Uranus_III	U_III, Titania
Fenrir	S/2004_S_16, Saturne_XLI
brochage	brochure
cadédis	cadédiou
aliment	pain, mets, becquetance, cuisine, victuaille, manger, boustifaille, provision, denrée, nourriture, approvisionnement, mangeaille, pitance
sous-routine	procédure, fonction
boukak	bougnoule
triadiménol	(1RS,2RS;1RS,2SR)-1-(4-chlorophénoxy)-3,3-diméthyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol, chlorophénoxy-4_diméthyléthyl-1,1-triazol-1,2,4-èthanol-1, β-(4-chlorophénoxy)-a-(1,1-diméthyléthyl)-1H-1,2,4-triazole-1-éthanol
oléoduc	pipeline
barre_oblique_inverse	barre_oblique_inversée, contre-oblique
webzine	webmagazine
salsepareille_d’Europe	liset_piquant, gramon_de_montagne, liseron_épineux, rin-vierge, smilax_rude, ariège, escamona, saliège
ferrement	ferrage
fongible	interchangeable
atelier	shop
LGBTI	transpédégouine, altersexuel, allosexuel
tintin	keutchi, walou, nada, que_dalle, niet, que_pouic, taratata
cyberlettre	infolettre
abattu	décourager, démoraliser, accabler, épuisé, fatigué, faible
révolver	six-coups, six_coups, colt
raie_manta	manta_géante, céphaloptère, mante, diable_de_mer
chromosomique	chromosomien, chromosomial
les_bras_m’en_tombent	les_mains_m’en_tombent
narcotrafiquant	narco
Épiphanie	jour_des_Rois
synchrone	isochrone
sur-le-champ	immédiatement, tout_de_suite, illico
cuniculiculteur	cuniculteur
